business,pickup_location,dropoff_location,trip_length,request_to_pickup,total_ride_time,on_scene_to_pickup,on_scene_to_dropoff,time_of_day,date,passenger_fare,driver_total_pay,rideshare_profit,hourly_rate,dollars_per_mile
Uber,102,157,2.08,119.0,648.0,79.0,727.0,evening,1684713600,12.61,9.1,3.51,45.06,4.38
Uber,235,244,1.7,59.0,1226.0,27.0,1253.0,evening,1684713600,13.57,13.75,-0.18,39.51,8.09
Uber,79,170,2.02,438.0,835.0,31.0,866.0,morning,1684800000,26.26,21.14,5.12,87.88,10.47
Uber,256,196,6.27,180.0,1362.0,26.0,1388.0,morning,1684713600,31.21,25.04,10.17,64.95,3.99
Uber,230,43,1.63,72.0,637.0,65.0,702.0,morning,1684713600,24.44,13.13,16.31,67.33,8.06
Uber,161,1,16.01,127.0,2785.0,117.0,2902.0,morning,1684713600,99.49,60.26,48.52,74.75,3.76
Uber,164,234,0.99,109.0,342.0,63.0,405.0,evening,1684713600,24.64,11.84,12.8,105.24,11.96
Uber,241,254,2.55,253.0,862.0,43.0,905.0,evening,1684713600,15.48,11.45,4.03,45.55,4.49
Uber,161,265,6.16,95.0,2144.0,9.0,2153.0,night,1684713600,64.48,40.64,23.84,67.95,6.6
Uber,13,100,3.6,-92.0,1128.0,218.0,1346.0,evening,1684713600,55.01,34.56,20.45,92.43,9.6
Uber,141,138,9.33,160.0,1541.0,53.0,1594.0,afternoon,1684713600,62.19,37.33,35.45,84.31,4.0
Uber,61,76,2.63,396.0,1027.0,25.0,1052.0,evening,1684713600,19.43,15.27,4.16,52.25,5.81
Uber,161,166,6.18,404.0,1083.0,172.0,1255.0,night,1684800000,30.04,21.59,11.24,61.93,3.49
Uber,140,147,5.61,332.0,3253.0,21.0,3274.0,afternoon,1684713600,37.99,42.07,-4.08,46.26,7.5
Uber,138,48,9.16,430.0,1554.0,67.0,1621.0,night,1684713600,56.43,29.56,26.87,65.65,3.23
Uber,52,33,0.35,173.0,176.0,67.0,243.0,evening,1684713600,19.74,12.11,7.63,179.41,34.6
Uber,97,226,6.49,317.0,1221.0,10.0,1231.0,night,1684800000,28.16,20.15,8.01,58.93,3.1
Uber,252,135,4.53,433.0,1032.0,16.0,1048.0,afternoon,1684800000,24.37,15.68,8.69,53.86,3.46
Uber,147,167,1.33,305.0,600.0,8.0,608.0,afternoon,1684800000,14.51,7.43,7.08,43.99,5.59
Uber,143,163,1.54,210.0,833.0,21.0,854.0,morning,1684800000,22.52,14.85,12.67,62.6,9.64
Uber,232,242,13.65,273.0,2252.0,104.0,2356.0,night,1684886400,43.78,39.66,4.12,60.6,2.91
Uber,263,61,12.54,265.0,3132.0,0.0,3132.0,night,1684800000,35.83,30.09,5.74,34.59,2.4
Uber,134,134,0.82,152.0,248.0,9.0,257.0,morning,1684800000,8.75,5.86,2.89,82.09,7.15
Uber,161,79,1.92,490.0,699.0,19.0,718.0,night,1684800000,50.42,26.71,32.29,133.92,13.91
Uber,48,162,1.42,119.0,1138.0,74.0,1212.0,morning,1684800000,20.43,12.83,7.6,38.11,9.04
Uber,181,113,4.98,358.0,2220.0,6.0,2226.0,afternoon,1684800000,46.78,33.88,17.9,54.79,6.8
Uber,204,109,4.18,231.0,937.0,32.0,969.0,afternoon,1684800000,24.3,14.3,10.0,53.13,3.42
Uber,186,236,3.6,153.0,1293.0,81.0,1374.0,evening,1684800000,32.11,17.47,14.64,45.77,4.85
Uber,231,68,2.88,70.0,924.0,45.0,969.0,night,1684800000,26.82,19.07,10.24,70.85,6.62
Uber,7,97,6.82,230.0,1373.0,70.0,1443.0,night,1684800000,32.02,22.04,9.98,54.99,3.23
Uber,64,82,8.45,435.0,914.0,74.0,988.0,night,1684886400,19.99,20.24,-0.25,73.75,2.4
Uber,13,100,3.7,251.0,1727.0,121.0,1848.0,evening,1684800000,65.15,29.16,35.99,56.81,7.88
Uber,60,41,5.23,228.0,1417.0,34.0,1451.0,morning,1684886400,43.31,20.34,22.97,50.46,3.89
Uber,136,42,3.65,329.0,1207.0,10.0,1217.0,evening,1684886400,19.45,16.55,2.9,48.96,4.53
Uber,237,237,0.91,259.0,405.0,35.0,440.0,night,1684886400,29.74,21.55,12.15,176.32,23.68
Uber,174,136,2.61,228.0,1202.0,70.0,1272.0,afternoon,1684886400,18.42,15.19,3.23,42.99,5.82
Uber,7,16,12.65,172.0,1235.0,18.0,1253.0,night,1684886400,57.61,28.72,28.89,82.52,2.27
Uber,230,112,4.97,212.0,1985.0,105.0,2090.0,morning,1684886400,91.58,52.75,38.83,90.86,10.61
Uber,234,87,2.58,104.0,899.0,9.0,908.0,night,1684886400,30.74,27.09,3.65,107.41,10.5
Uber,81,235,5.46,745.0,2245.0,21.0,2266.0,morning,1684886400,30.09,14.14,15.95,22.46,2.59
Uber,182,242,0.81,249.0,260.0,132.0,392.0,morning,1684886400,9.32,5.78,3.54,53.08,7.14
Uber,262,236,1.0,405.0,532.0,0.0,532.0,afternoon,1684886400,12.89,6.42,6.47,43.44,6.42
Uber,3,51,2.44,296.0,463.0,38.0,501.0,evening,1684886400,11.65,7.83,3.82,56.26,3.21
Uber,234,161,2.06,477.0,1027.0,0.0,1027.0,morning,1684886400,24.35,14.37,9.98,50.37,6.98
Uber,170,265,5.15,391.0,1111.0,8.0,1119.0,night,1684886400,73.75,36.06,50.28,116.01,7.0
Uber,230,43,0.77,183.0,644.0,4.0,648.0,afternoon,1684886400,16.68,10.38,9.3,57.67,13.48
Uber,123,62,5.41,111.0,1554.0,8.0,1562.0,night,1684886400,29.18,21.78,7.4,50.2,4.03
Uber,81,81,0.83,351.0,278.0,121.0,399.0,night,1684886400,9.11,5.9,3.21,53.23,7.11
Uber,188,61,2.57,174.0,1295.0,94.0,1389.0,morning,1684972800,17.45,15.55,1.9,40.3,6.05
Uber,211,261,2.69,618.0,1302.0,92.0,1394.0,afternoon,1684972800,20.22,16.09,4.13,41.55,5.98
Uber,142,7,13.36,150.0,1320.0,35.0,1355.0,night,1684972800,43.64,33.7,13.33,89.54,2.52
Uber,18,174,1.15,164.0,448.0,86.0,534.0,morning,1684972800,9.67,5.72,3.95,38.56,4.97
Uber,237,229,2.11,135.0,1362.0,43.0,1405.0,morning,1684972800,25.78,17.96,10.21,46.02,8.51
Uber,133,89,2.02,118.0,891.0,4.0,895.0,afternoon,1684972800,12.62,11.03,1.59,44.37,5.46
Uber,137,263,2.88,268.0,1191.0,0.0,1191.0,evening,1684972800,21.47,15.31,6.16,46.28,5.32
Uber,124,124,0.95,216.0,362.0,120.0,482.0,afternoon,1684972800,8.3,9.2,-0.9,68.71,9.68
Uber,246,163,1.91,330.0,639.0,176.0,815.0,afternoon,1684972800,24.64,18.11,6.53,80.0,9.48
Uber,77,177,2.11,353.0,682.0,5.0,687.0,morning,1684972800,15.54,9.29,6.25,48.68,4.4
Uber,137,186,1.06,279.0,853.0,12.0,865.0,evening,1684972800,24.34,9.41,14.93,39.16,8.88
Uber,234,246,1.18,165.0,697.0,18.0,715.0,afternoon,1684972800,15.56,8.12,7.44,40.88,6.88
Uber,186,50,2.24,98.0,683.0,22.0,705.0,night,1684972800,13.63,9.68,3.95,49.43,4.32
Uber,36,198,1.34,90.0,410.0,2.0,412.0,afternoon,1684972800,10.55,5.61,4.94,49.02,4.19
Uber,242,250,1.83,239.0,536.0,18.0,554.0,afternoon,1684972800,12.58,7.59,4.99,49.32,4.15
Uber,164,48,1.71,378.0,843.0,31.0,874.0,evening,1684972800,32.52,14.85,22.0,61.17,8.68
Uber,255,232,3.29,472.0,836.0,37.0,873.0,night,1684972800,15.88,8.48,7.4,34.97,2.58
Uber,170,265,10.3,263.0,3851.0,22.0,3873.0,evening,1685059200,81.29,53.48,27.81,49.71,5.19
Uber,230,223,6.03,53.0,2069.0,38.0,2107.0,morning,1685059200,45.51,31.6,18.14,53.99,5.24
Uber,138,220,12.0,400.0,1717.0,46.0,1763.0,morning,1685059200,51.35,32.31,19.04,65.98,2.69
Uber,232,87,1.39,440.0,672.0,0.0,672.0,afternoon,1685059200,17.54,8.15,9.39,43.66,5.86
